ID,NAME,NUMPOINTS
"1261",Wychwood (94),16
"1262",Yonge-Eglinton (100),9
"1263",Yonge-St.Clair (97),6
"1264",York University Heights (27),10
"1265",Yorkdale-Glen Park (31),7
"1266",Lambton Baby Point (114),4
"1267",Lansing-Westgate (38),6
"1268",Lawrence Park North (105),7
"1269",Lawrence Park South (103),7
"1270",Leaside-Bennington (56),19
"1271",Little Portugal (84),27
"1272",Long Branch (19),2
"1273",Malvern (132),7
"1274",Maple Leaf (29),1
"1275",Markland Wood (12),3
"1276",Milliken (130),6
"1277",Mimico (includes Humber Bay Shores) (17),9
"1278",Morningside (135),2
"1279",Moss Park (73),37
"1280",Mount Dennis (115),3
"1281",Mount Olive-Silverstone-Jamestown (2),8
"1282",Mount Pleasant East (99),5
"1283",Mount Pleasant West (104),7
"1284",New Toronto (18),12
"1285",Newtonbrook East (50),2
"1286",Newtonbrook West (36),2
"1287",Niagara (82),37
"1288",North Riverdale (68),17
"1289",North St.James Town (74),9
"1290",O'Connor-Parkview (54),4
"1291",Oakridge (121),4
"1292",Oakwood Village (107),6
"1293",Old East York (58),3
"1294",Palmerston-Little Italy (80),24
"1295",Parkwoods-Donalda (45),6
"1296",Pelmo Park-Humberlea (23),2
"1297",Playter Estates-Danforth (67),9
"1298",Pleasant View (46),2
"1299",Princess-Rosethorn (10),2
"1300",Regent Park (72),9
"1301",Rexdale-Kipling (4),1
"1302",Rockcliffe-Smythe (111),2
"1303",Roncesvalles (86),21
"1304",Rosedale-Moore Park (98),7
"1305",Rouge (131),5
"1306",Runnymede-Bloor West Village (89),12
"1307",Rustic (28),2
"1308",Scarborough Village (139),4
"1309",South Parkdale (85),13
"1310",South Riverdale (70),39
"1311",St.Andrew-Windfields (40),10
"1312",Steeles (116),7
"1313",Stonegate-Queensway (16),8
"1314",Tam O'Shanter-Sullivan (118),4
"1315",Taylor-Massey (61),1
"1316",The Beaches (63),19
"1317",Thistletown-Beaumond Heights (3),2
"1318",Thorncliffe Park (55),12
"1319",Trinity-Bellwoods (81),51
"1320",University (79),45
"1321",Victoria Village (43),5
"1322",Waterfront Communities-The Island (77),125
"1323",West Hill (136),5
"1324",West Humber-Clairville (1),10
"1325",Westminster-Branson (35),5
"1326",Weston (113),8
"1327",Weston-Pellam Park (91),4
"1328",Wexford/Maryvale (119),7
"1329",Willowdale East (51),9
"1330",Willowdale West (37),8
"1331",Willowridge-Martingrove-Richview (7),3
"1332",Woburn (137),8
"1333",Woodbine Corridor (64),5
"1334",Woodbine-Lumsden (60),2
"1335",Agincourt North (129),4
"1336",Agincourt South-Malvern West (128),7
"1337",Alderwood (20),2
"1338",Annex (95),56
"1339",Banbury-Don Mills (42),11
"1340",Bathurst Manor (34),2
"1341",Bay Street Corridor (76),43
"1342",Bayview Village (52),3
"1343",Bayview Woods-Steeles (49),1
"1344",Bedford Park-Nortown (39),8
"1345",Beechborough-Greenbrook (112),7
"1346",Bendale (127),6
"1347",Birchcliffe-Cliffside (122),9
"1348",Black Creek (24),2
"1349",Blake-Jones (69),4
"1350",Briar Hill-Belgravia (108),0
"1351",Bridle Path-Sunnybrook-York Mills (41),9
"1352",Broadview North (57),4
"1353",Brookhaven-Amesbury (30),3
"1354",Cabbagetown-South St.James Town (71),11
"1355",Caledonia-Fairbank (109),0
"1356",Casa Loma (96),14
"1357",Centennial Scarborough (133),3
"1358",Church-Yonge Corridor (75),52
"1359",Clairlea-Birchmount (120),8
"1360",Clanton Park (33),2
"1361",Cliffcrest (123),5
"1362",Corso Italia-Davenport (92),9
"1363",Danforth (66),8
"1364",Danforth East York (59),2
"1365",Don Valley Village (47),6
"1366",Dorset Park (126),3
"1367",Dovercourt-Wallace Emerson-Junction (93),23
"1368",Downsview-Roding-CFB (26),11
"1369",Dufferin Grove (83),11
"1370",East End-Danforth (62),10
"1371",Edenbridge-Humber Valley (9),1
"1372",Eglinton East (138),1
"1373",Elms-Old Rexdale (5),0
"1374",Englemount-Lawrence (32),5
"1375",Eringate-Centennial-West Deane (11),3
"1376",Etobicoke West Mall (13),3
"1377",Flemingdon Park (44),2
"1378",Forest Hill North (102),5
"1379",Forest Hill South (101),5
"1380",Glenfield-Jane Heights (25),5
"1381",Greenwood-Coxwell (65),9
"1382",Guildwood (140),5
"1383",Henry Farm (53),3
"1384",High Park North (88),10
"1385",High Park-Swansea (87),16
"1386",Highland Creek (134),6
"1387",Hillcrest Village (48),3
"1388",Humber Heights-Westmount (8),1
"1389",Humber Summit (21),2
"1390",Humbermede (22),2
"1391",Humewood-Cedarvale (106),6
"1392",Ionview (125),4
"1393",Islington-City Centre West (14),11
"1394",Junction Area (90),25
"1395",Keelesdale-Eglinton West (110),6
"1396",Kennedy Park (124),1
"1397",Kensington-Chinatown (78),58
"1398",Kingsview Village-The Westway (6),1
"1399",Kingsway South (15),5
"1400",L'Amoreaux (117),7
