ID,NAME,Buddhist_NUMPOINTS,Catholic_NUMPOINTS,Hindu_NUMPOINTS,Jain_NUMPOINTS,Jewish_NUMPOINTS,Muslim_NUMPOINTS,Orthodox_NUMPOINTS,Other_NUMPOINTS,Scientology_NUMPOINTS,Sikh_NUMPOINTS,Taoist_NUMPOINTS,Unitarian_NUMPOINTS,Zoroastrain_NUMPOINTS,Bahai_NUMPOINTS,Christian_NUMPOINTS
"1261",Wychwood (94),"1","0","0","0","2","0","0","0","0","0","0","0","0","0","14"
"1262",Yonge-Eglinton (100),"2","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"1263",Yonge-St.Clair (97),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"1264",York University Heights (27),"0","0","1","0","2","1","0","0","0","1","0","0","0","0","26"
"1265",Yorkdale-Glen Park (31),"1","1","0","0","2","0","1","0","0","0","0","0","0","0","10"
"1266",Lambton Baby Point (114),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1267",Lansing-Westgate (38),"0","1","0","0","2","0","0","1","0","0","0","0","0","0","6"
"1268",Lawrence Park North (105),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"1269",Lawrence Park South (103),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"1270",Leaside-Bennington (56),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"1271",Little Portugal (84),"1","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"1272",Long Branch (19),"0","1","0","0","0","0","1","0","0","0","0","0","0","0","7"
"1273",Malvern (132),"0","1","2","0","0","2","0","0","0","0","0","0","0","0","11"
"1274",Maple Leaf (29),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"1275",Markland Wood (12),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"1276",Milliken (130),"7","1","3","0","0","0","0","0","0","1","0","0","0","0","12"
"1277",Mimico (includes Humber Bay Shores) (17),"0","3","0","0","0","0","0","0","0","1","0","0","0","0","8"
"1278",Morningside (135),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"1279",Moss Park (73),"0","0","0","0","0","2","0","0","0","0","0","0","0","0","10"
"1280",Mount Dennis (115),"0","1","0","0","0","0","0","0","0","0","0","0","0","0","8"
"1281",Mount Olive-Silverstone-Jamestown (2),"0","1","0","0","0","0","0","0","0","0","0","0","0","0","3"
"1282",Mount Pleasant East (99),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"1283",Mount Pleasant West (104),"0","1","0","0","0","0","0","0","0","0","0","1","0","0","6"
"1284",New Toronto (18),"0","0","1","0","0","1","0","0","0","0","0","0","0","0","9"
"1285",Newtonbrook East (50),"0","0","0","0","0","0","0","0","0","0","0","0","1","0","9"
"1286",Newtonbrook West (36),"0","0","0","0","1","0","0","0","0","0","0","0","0","0","8"
"1287",Niagara (82),"1","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"1288",North Riverdale (68),"0","1","0","0","0","0","0","0","0","0","0","0","0","0","4"
"1289",North St.James Town (74),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"1290",O'Connor-Parkview (54),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"1291",Oakridge (121),"0","0","0","0","0","2","0","0","0","0","0","0","0","0","4"
"1292",Oakwood Village (107),"0","0","0","0","2","0","0","0","0","0","0","0","0","0","11"
"1293",Old East York (58),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"1294",Palmerston-Little Italy (80),"0","0","0","0","1","0","0","0","0","1","0","0","0","0","11"
"1295",Parkwoods-Donalda (45),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"1296",Pelmo Park-Humberlea (23),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"1297",Playter Estates-Danforth (67),"0","1","0","0","0","0","0","0","0","0","0","0","0","0","7"
"1298",Pleasant View (46),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"1299",Princess-Rosethorn (10),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"1300",Regent Park (72),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"1301",Rexdale-Kipling (4),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"1302",Rockcliffe-Smythe (111),"4","0","1","0","0","0","0","0","0","0","0","0","0","0","12"
"1303",Roncesvalles (86),"2","0","1","0","0","0","0","0","0","0","0","0","0","0","6"
"1304",Rosedale-Moore Park (98),"0","1","0","0","0","0","0","0","0","0","0","0","0","0","6"
"1305",Rouge (131),"0","0","4","0","0","1","0","0","0","0","0","0","0","0","7"
"1306",Runnymede-Bloor West Village (89),"0","0","0","0","0","1","0","0","0","0","0","0","0","0","6"
"1307",Rustic (28),"0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"1308",Scarborough Village (139),"0","1","0","0","0","2","0","0","0","0","0","0","0","0","2"
"1309",South Parkdale (85),"0","0","0","0","1","1","0","0","0","0","0","0","0","0","7"
