ID,NAME,PARK_COUNT,PARK_AREA,NBHD_AREA,PARK_PERCENTAGE
1335,Agincourt North (129),8,253301.2487,7264400.538,0.034868844
1336,Agincourt South-Malvern West (128),11,225868.1415,7875866.964,0.028678512
1337,Alderwood (20),1,845.1042062,4980676.586,0.000169677
1338,Annex (95),2,1886.228543,2791394.713,0.00067573
1339,Banbury-Don Mills (42),9,458925.4905,10045353.4,0.04568535
1340,Bathurst Manor (34),12,1087125.549,4762404.557,0.228272406
1341,Bay Street Corridor (76),3,66087.28377,1809966.866,0.03651298
1342,Bayview Village (52),15,1049936.947,5161147.06,0.20343093
1343,Bayview Woods-Steeles (49),6,919939.9015,4090512.369,0.224896008
1344,Bedford Park-Nortown (39),4,19392.45928,5520503.869,0.003512806
1345,Beechborough-Greenbrook (112),3,19846.64991,1834371.614,0.010819318
1346,Bendale (127),14,474962.0532,7458868.74,0.063677492
1347,Birchcliffe-Cliffside (122),21,555966.9635,6010982.176,0.092491867
1348,Black Creek (24),7,385854.5398,3455418.789,0.111666505
1349,Blake-Jones (69),1,9486.384653,941539.392,0.010075399
1350,Briar Hill-Belgravia (108),4,68561.06289,1831089.725,0.037442765
1351,Bridle Path-Sunnybrook-York Mills (41),9,823860.1087,8841885.532,0.093176971
1352,Broadview North (57),2,43529.20514,1746620.59,0.024921958
1353,Brookhaven-Amesbury (30),4,69520.65244,3508837.026,0.019813018
1354,Cabbagetown-South St.James Town (71),5,181635.0358,1418447.73,0.128051977
1355,Caledonia-Fairbank (109),3,261804.1238,1545068.644,0.169444979
1356,Casa Loma (96),9,37663.40468,1923171.419,0.019584008
1357,Centennial Scarborough (133),14,468473.3922,5469768.313,0.085647758
1358,Church-Yonge Corridor (75),9,27651.89319,1365074.215,0.020256696
1359,Clairlea-Birchmount (120),6,126353.0787,7399962.098,0.017074828
1360,Clanton Park (33),3,18782.31819,4144264.342,0.004532124
1361,Cliffcrest (123),14,273640.7745,7193771.418,0.03803857
1362,Corso Italia-Davenport (92),2,158894.7012,1885441.075,0.084274552
1364,Danforth East York (59),1,1992.384419,2189388.002,0.000910019
1365,Don Valley Village (47),7,70186.08558,4213930.695,0.016655729
1366,Dorset Park (126),6,322207.0887,6014121.898,0.053575084
1367,Dovercourt-Wallace Emerson-Junction (93),9,45813.58062,3727358.942,0.012291164
1368,Downsview-Roding-CFB (26),14,2153421.039,14998892.61,0.143572002
1369,Dufferin Grove (83),3,2417.65883,1388536.07,0.001741157
1370,East End-Danforth (62),2,44800.38897,2639841.816,0.016970861
1371,Edenbridge-Humber Valley (9),14,805107.2436,5514117.354,0.146008362
1372,Eglinton East (138),8,117579.211,3224269.397,0.036466931
1373,Elms-Old Rexdale (5),3,294712.0058,2932602.167,0.100495052
1374,Englemount-Lawrence (32),1,10672.85054,3479555.809,0.003067303
1375,Eringate-Centennial-West Deane (11),7,2308491.135,8649681.878,0.266887403
1376,Etobicoke West Mall (13),4,95387.99493,1797498.48,0.05306708
1377,Flemingdon Park (44),6,284327.932,2474153.664,0.11491927
1378,Forest Hill North (102),6,59925.47615,1569728.064,0.038175705
1379,Forest Hill South (101),4,20277.30745,2480899.992,0.008173368
1380,Glenfield-Jane Heights (25),6,296447.0145,5152122.353,0.057538815
1381,Greenwood-Coxwell (65),3,87056.81737,1675754.764,0.05195081
1382,Guildwood (140),11,126031.9222,3805482.186,0.033118516
1383,Henry Farm (53),4,229541.6882,2594152.571,0.088484267
1384,High Park North (88),4,57503.6495,1883065.626,0.030537252
1385,High Park-Swansea (87),7,1468997.917,5360173.297,0.274057915
